x,y,z,cluster
-9.24521,-6.95836,0.742597,3
-9.25296,-6.44482,0.419195,3
-9.13332,-6.86665,0.315184,3
-9.14516,-6.36476,0.00758412,3
-9.0811,-6.82442,-0.101909,3
-9.12058,-6.34198,-0.399576,3
-9.8233,-6.80323,3.15263,3
-9.31052,-6.97631,2.48673,3
-9.89308,-6.8559,2.23387,3
-9.2768,-6.94902,2.03419,3
-9.76338,-6.76678,1.75479,3
-9.34376,-6.99434,1.60898,3
-9.32159,-6.97318,1.17159,3
-9.26571,-6.92936,0.742533,3
-9.23818,-6.39252,0.417635,3
-9.15034,-6.83561,0.315046,3
-9.13503,-6.3162,0.00755961,3
-9.14446,-6.82824,-0.102385,3
-9.06518,-6.26228,-0.396305,3
-9.29782,-6.92563,2.93323,3
-9.27855,-6.908,2.47251,3
-9.25067,-6.88524,2.02382,3
-9.5846,-6.59327,0.858181,3
-9.24869,-6.35792,0.417226,3
-9.13193,-6.77831,0.313695,3
-9.14077,-7.31612,0.21152,3
-9.16426,-6.29493,0.00756778,3
-9.19749,-6.82399,-0.102743,3
-9.17169,-6.29438,-0.400115,3
-9.70285,-6.63633,2.18168,3
-9.69285,-6.63023,1.73477,3
-9.72879,-6.65481,1.30381,3
-9.67312,-6.61054,0.864288,3
-9.25247,-6.3188,0.41652,3
-9.14384,-6.74374,0.313391,3
-9.13397,-6.23297,0.00752694,3
-9.11536,-6.71979,-0.101595,3
-9.1282,-6.22343,-0.397383,3
-9.72231,-6.60173,3.10059,3
-9.85061,-6.69312,2.67013,3
-9.69796,-6.5894,2.17602,3
-9.68042,-6.57822,1.72892,3
-9.76314,-6.63443,1.30568,3
-9.65045,-6.5517,0.860462,3
-9.26768,-6.28758,0.416335,3
-9.18061,-6.72747,0.313943,3
-9.12666,-7.2134,0.210165,3
-9.16547,-6.21333,0.00753715,3
-9.10931,-6.67229,-0.101299,3
-9.1398,-6.19035,-0.39706,3
-9.76176,-6.58484,3.10671,3
-9.80316,-6.61701,2.65175,3
-9.72187,-6.56288,1.73272,3
