x,y,z,cluster
-6.07546,-3.71112,-0.391422,1
-5.45943,-3.61244,-0.422532,1
-7.459,-3.82787,0.927365,1
-7.19522,-4.74552,0.704843,1
-7.22935,-3.70603,0.599292,1
-6.38946,-3.57569,0.469895,1
-6.11298,-3.71885,0.391275,1
-5.66271,-3.73052,0.306504,1
-7.06727,-3.62014,0.29519,1
-6.44655,-3.6032,0.203707,1
-5.94496,-3.61323,0.125684,1
-5.51167,-3.63019,0.0572496,1
-7.01562,-3.59044,0.00536443,1
-6.47132,-3.61527,-0.0665011,1
-6.11383,-3.71265,-0.130597,1
-5.49691,-3.61566,-0.183551,1
-7.09356,-3.62658,-0.286562,1
-6.51195,-3.6341,-0.337724,1
-6.04243,-3.66554,-0.388567,1
-5.46715,-3.59348,-0.422275,1
-7.42366,-4.86876,1.05264,1
-7.42465,-3.78151,0.921648,1
-7.1889,-4.70977,0.702806,1
